Name,Nationality,Overall,Wage €'s,Wage $'s, Annualized Salary Wage €'s ,Annualized Salary Wage S's,Age,Potential
J. Ikoné,France,73,18, 21 ," 936,000 ","1,075,862",20,84
A. Smithies,England,73,28, 32 ," 1,456,000 ","1,673,563",28,75
T. Ream,United States,73,38, 44 ," 1,976,000 ","2,271,264",30,73
A. Maxim,Romania,73,22, 25 ," 1,144,000 ","1,314,943",27,73
N. Navarro,Argentina,73,12, 14 ," 624,000 ","717,241",33,73
A. Rispoli,Italy,73,4, 5 ," 208,000 ","239,080",29,73
I. Baldé,Senegal,73,11, 13 ," 572,000 ","657,471",29,73
Miguel Vieira,Portugal,73,8, 9 ," 416,000 ","478,161",27,74
L. Freeman,England,73,9, 10 ," 468,000 ","537,931",26,74
G. Hooper,England,73,25, 29 ," 1,300,000 ","1,494,253",30,73
R. Emond,Belgium,73,15, 17 ," 780,000 ","896,552",26,74
E. Terranova,Italy,73,4, 5 ," 208,000 ","239,080",31,73
S. Dewaest,Belgium,73,12, 14 ," 624,000 ","717,241",27,74
Nélson Oliveira,Portugal,73,25, 29 ," 1,300,000 ","1,494,253",26,73
A. Losilla,France,73,14, 16 ," 728,000 ","836,782",32,73
F. Meza,Colombia,73,36, 41 ," 1,872,000 ","2,151,724",26,76
C. Mathenia,Germany,73,15, 17 ," 780,000 ","896,552",26,76
O. Ntcham,France,73,34, 39 ," 1,768,000 ","2,032,184",22,82
M. Knoll,Germany,73,14, 16 ," 728,000 ","836,782",27,73
A. Bakasetas,Greece,73,1, 1 ," 52,000 ","59,770",25,77
M. Barrios,Colombia,73,7, 8 ," 364,000 ","418,391",27,73
S. Salcedo,Paraguay,73,9, 10 ," 468,000 ","537,931",20,80
Perdigão,Brazil,73,10, 11 ," 520,000 ","597,701",26,73
Galeno,Brazil,73,9, 10 ," 468,000 ","537,931",20,84
Bóveda,Spain,73,9, 10 ," 468,000 ","537,931",29,73
Marc Mateu,Spain,73,10, 11 ," 520,000 ","597,701",28,73
G. Saville,Northern Ireland,73,12, 14 ," 624,000 ","717,241",25,76
R. Christie,Scotland,73,34, 39 ," 1,768,000 ","2,032,184",23,78
P. Foden,England,73,36, 41 ," 1,872,000 ","2,151,724",18,88
T. Foket,Belgium,73,12, 14 ," 624,000 ","717,241",23,78
P. Schiattarella,Italy,73,12, 14 ," 624,000 ","717,241",31,73
F. Sørensen,Denmark,73,16, 18 ," 832,000 ","956,322",26,76
D. Ward,Wales,73,32, 37 ," 1,664,000 ","1,912,644",25,76
L. Diony,France,73,26, 30 ," 1,352,000 ","1,554,023",25,76
R. Krunić,Bosnia Herzegovina,73,11, 13 ," 572,000 ","657,471",24,78
Riesgo,Spain,73,13, 15 ," 676,000 ","777,011",34,73
J. Howson,England,73,41, 47 ," 2,132,000 ","2,450,575",30,73
J. Van Damme,Belgium,73,10, 11 ," 520,000 ","597,701",34,73
M. Martins,Bolivia,73,€ 0, -   , -   ,0,31,73
W. Faríñez,Venezuela,73,2, 2 ," 104,000 ","119,540",20,83
B. Dibassy,Mali,73,15, 17 ," 780,000 ","896,552",28,73
T. Reginiussen,Norway,73,6, 7 ," 312,000 ","358,621",32,73
G. Rivas,Venezuela,73,33, 38 ," 1,716,000 ","1,972,414",29,73
Benjamin Meseira,Brazil,73,13, 15 ," 676,000 ","777,011",34,73
C. Ninga,Chad,73,20, 23 ," 1,040,000 ","1,195,402",25,78
M. Suttner,Austria,73,33, 38 ," 1,716,000 ","1,972,414",31,73
G. van der Wiel,Netherlands,73,7, 8 ," 364,000 ","418,391",30,73
W. González,Paraguay,73,22, 25 ," 1,144,000 ","1,314,943",23,81
T. Hořava,Czech Republic,73,1, 1 ," 52,000 ","59,770",30,73
P. Tachtsidis,Greece,73,35, 40 ," 1,820,000 ","2,091,954",27,73
W. Saïd,France,73,12, 14 ," 624,000 ","717,241",23,79
E. Cerutti,Argentina,73,29, 33 ," 1,508,000 ","1,733,333",26,74
Gustavo Lobateiro,Brazil,73,21, 24 ," 1,092,000 ","1,255,172",30,73
Pere Milla,Spain,73,17, 20 ," 884,000 ","1,016,092",25,76
J. Johansson,Sweden,73,26, 30 ," 1,352,000 ","1,554,023",28,73
T. Murg,Austria,73,14, 16 ," 728,000 ","836,782",23,77
J. Ramírez,Argentina,73,14, 16 ," 728,000 ","836,782",25,75
F. Vicari,Italy,73,10, 11 ," 520,000 ","597,701",23,81
K. Adams Nuhu,Ghana,73,20, 23 ," 1,040,000 ","1,195,402",23,81
P. Nardi,France,73,27, 31 ," 1,404,000 ","1,613,793",24,78
H. Magnússon,Iceland,73,1, 1 ," 52,000 ","59,770",25,78
O. Edouard,France,73,32, 37 ," 1,664,000 ","1,912,644",20,84
D. Rice,Republic of Ireland,73,21, 24 ," 1,092,000 ","1,255,172",19,84
Evandro Rochedo,Brazil,73,29, 33 ," 1,508,000 ","1,733,333",34,73
K. Westwood,Republic of Ireland,73,17, 20 ," 884,000 ","1,016,092",33,73
Bracali,Brazil,73,4, 5 ," 208,000 ","239,080",37,73
M. Sperduti,Argentina,73,13, 15 ," 676,000 ","777,011",32,73
Y. Gómez Andrade,Colombia,73,12, 14 ," 624,000 ","717,241",26,75
G. Peruzzi,Argentina,73,17, 20 ," 884,000 ","1,016,092",26,76
Toni Villa,Spain,73,14, 16 ," 728,000 ","836,782",23,82
Y. Gordillo,Colombia,73,4, 5 ," 208,000 ","239,080",26,78
Ricardo,Portugal,73,13, 15 ," 676,000 ","777,011",31,73
B. Sanneh,Gambia,73,13, 15 ," 676,000 ","777,011",23,79
Michel Cruceiro,Brazil,73,24, 28 ," 1,248,000 ","1,434,483",26,73
L. Burián,Uruguay,73,9, 10 ," 468,000 ","537,931",34,73
M. Tekdemir,Turkey,73,18, 21 ," 936,000 ","1,075,862",30,73
K. Lamprou,Greece,73,11, 13 ," 572,000 ","657,471",26,74
I. Mbaye,Senegal,73,19, 22 ," 988,000 ","1,135,632",23,80
A. Browne,Republic of Ireland,73,11, 13 ," 572,000 ","657,471",23,78
G. Pazzini,Italy,73,5, 6 ," 260,000 ","298,851",33,73
Eduardo,Brazil,73,11, 13 ," 572,000 ","657,471",25,76
C. Santos,Venezuela,73,10, 11 ," 520,000 ","597,701",30,73
E. Mendy,Senegal,73,12, 14 ," 624,000 ","717,241",26,76
M. Ngadeu-Ngadjui,Cameroon,73,1, 1 ," 52,000 ","59,770",27,75
L. Mazzitelli,Italy,73,32, 37 ," 1,664,000 ","1,912,644",22,78
J. Lolley,England,73,36, 41 ," 1,872,000 ","2,151,724",25,74
A. Traoré,Burkina Faso,73,16, 18 ," 832,000 ","956,322",29,73
V. Stocker,Switzerland,73,22, 25 ," 1,144,000 ","1,314,943",29,73
D. Alar,Austria,73,18, 21 ," 936,000 ","1,075,862",28,73
J. Añor,Venezuela,73,8, 9 ," 416,000 ","478,161",24,78
A. Donis,Greece,73,21, 24 ," 1,092,000 ","1,255,172",21,83
M. Gazzola,Italy,73,29, 33 ," 1,508,000 ","1,733,333",33,73
F. Diagne,Senegal,73,14, 16 ," 728,000 ","836,782",28,73
S. Schaars,Netherlands,73,8, 9 ," 416,000 ","478,161",34,73
M. Poundjé,France,73,27, 31 ," 1,404,000 ","1,613,793",25,76
F. Hinestroza,Colombia,73,2, 2 ," 104,000 ","119,540",28,73
A. Hahn,Germany,73,20, 23 ," 1,040,000 ","1,195,402",27,73
V. Shepelev,Ukraine,73,1, 1 ," 52,000 ","59,770",21,82
M. Leitner,Germany,73,22, 25 ," 1,144,000 ","1,314,943",25,75
R. Skov,Denmark,73,15, 17 ," 780,000 ","896,552",22,81
B. Guzan,United States,73,5, 6 ," 260,000 ","298,851",33,73
M. Mitrović,Croatia,73,14, 16 ," 728,000 ","836,782",24,78
A. Luthe,Germany,73,15, 17 ," 780,000 ","896,552",31,73
A. Traoré,Ivory Coast,73,19, 22 ," 988,000 ","1,135,632",28,73
N. Uysal,Turkey,73,32, 37 ," 1,664,000 ","1,912,644",27,75
G. Donati,Italy,73,21, 24 ," 1,092,000 ","1,255,172",28,73
A. Ujah,Nigeria,73,23, 26 ," 1,196,000 ","1,374,713",27,73
A. Kravets,Ukraine,73,14, 16 ," 728,000 ","836,782",29,73
Z. Tomašević,Montenegro,73,13, 15 ," 676,000 ","777,011",28,74
M. Borjan,Canada,73,€ 0, -   , -   ,0,30,73
S. Lukić,Serbia,73,21, 24 ," 1,092,000 ","1,255,172",21,80
C. Goldson,England,73,34, 39 ," 1,768,000 ","2,032,184",25,80
Rubén Alcaraz,Spain,73,16, 18 ," 832,000 ","956,322",27,74
L. Ulloa,Argentina,73,26, 30 ," 1,352,000 ","1,554,023",31,73
Iván López,Spain,73,15, 17 ," 780,000 ","896,552",24,78
S. Amrabat,Morocco,73,13, 15 ," 676,000 ","777,011",21,79
M. Wöber,Austria,73,9, 10 ," 468,000 ","537,931",20,81
F. Lucioni,Italy,73,4, 5 ," 208,000 ","239,080",30,73
Calero,Spain,73,13, 15 ," 676,000 ","777,011",22,82
C. Marrugo,Colombia,73,8, 9 ," 416,000 ","478,161",32,73
J. Forlín,Argentina,73,9, 10 ," 468,000 ","537,931",30,73
L. Janson,Argentina,73,12, 14 ," 624,000 ","717,241",23,79
B. Bolingoli,Belgium,73,12, 14 ," 624,000 ","717,241",23,78
Thiago Santana,Brazil,73,6, 7 ," 312,000 ","358,621",25,75
K. Rausch,Russia,73,€ 0, -   , -   ,0,28,73
N. Etheridge,Philippines,73,28, 32 ," 1,456,000 ","1,673,563",28,75
Aitor Sanz,Spain,73,8, 9 ," 416,000 ","478,161",33,73
Frederico Venâncio,Portugal,73,8, 9 ," 416,000 ","478,161",25,77
M. Grujić,Serbia,73,51, 59 ," 2,652,000 ","3,048,276",22,84
M. Langerak,Australia,73,6, 7 ," 312,000 ","358,621",29,74
H. Manzala,DR Congo,73,16, 18 ," 832,000 ","956,322",24,79
Paulinho,Brazil,73,5, 6 ," 260,000 ","298,851",32,73
W. Troost-Ekong,Nigeria,73,17, 20 ," 884,000 ","1,016,092",24,77
D. Fagundez,Uruguay,73,6, 7 ," 312,000 ","358,621",23,77
U. Demirok,Turkey,73,14, 16 ," 728,000 ","836,782",29,73
R. Kruse,Australia,73,16, 18 ," 832,000 ","956,322",29,73
T. Matlaba,South Africa,73,1, 1 ," 52,000 ","59,770",30,73
G. Banguera,Colombia,73,2, 2 ," 104,000 ","119,540",22,82
A. Özbiliz,Armenia,73,40, 46 ," 2,080,000 ","2,390,805",28,73
S. Al Dawsari,Saudi Arabia,73,29, 33 ," 1,508,000 ","1,733,333",26,73
I. Success,Nigeria,73,34, 39 ," 1,768,000 ","2,032,184",22,80
A. Long,United States,73,6, 7 ," 312,000 ","358,621",25,78
M. Škoda,Czech Republic,73,1, 1 ," 52,000 ","59,770",32,73
A. Diakhaby,France,73,26, 30 ," 1,352,000 ","1,554,023",21,78
D. Kadah,Turkey,73,20, 23 ," 1,040,000 ","1,195,402",32,73
A. Ríos,Mexico,73,19, 22 ," 988,000 ","1,135,632",29,73
J. Mateta,France,73,18, 21 ," 936,000 ","1,075,862",21,84
F. Cacciatore,Italy,73,13, 15 ," 676,000 ","777,011",31,73
R. van Rhijn,Netherlands,73,12, 14 ," 624,000 ","717,241",27,74
R. Pérez,Colombia,73,4, 5 ," 208,000 ","239,080",28,74
A. Baumjohann,Germany,73,9, 10 ," 468,000 ","537,931",31,73
R. Elm,Sweden,73,4, 5 ," 208,000 ","239,080",30,73
H. Kaldırım,Turkey,73,43, 49 ," 2,236,000 ","2,570,115",28,73
F. Monetti,Argentina,73,4, 5 ," 208,000 ","239,080",29,75
K. Nababkin,Russia,73,1, 1 ," 52,000 ","59,770",31,73
S. Williams,Republic of Ireland,73,12, 14 ," 624,000 ","717,241",31,73
M. Stępiński,Poland,73,14, 16 ," 728,000 ","836,782",23,80
M. Pazdan,Poland,73,8, 9 ," 416,000 ","478,161",30,73
T. Al Jassam,Saudi Arabia,73,29, 33 ," 1,508,000 ","1,733,333",33,73
M. Heller,Germany,73,17, 20 ," 884,000 ","1,016,092",32,73
V. Pajot,France,73,19, 22 ," 988,000 ","1,135,632",27,73
Y. Asad,Argentina,73,11, 13 ," 572,000 ","657,471",23,79
Y. Banana,Cameroon,73,€ 0, -   , -   ,0,26,75
W. Montillo,Argentina,73,13, 15 ," 676,000 ","777,011",34,73
L. Waldschmidt,Germany,73,19, 22 ," 988,000 ","1,135,632",22,79
Y. Makarenko,Ukraine,73,15, 17 ," 780,000 ","896,552",27,75
J. Mæhle,Denmark,73,9, 10 ," 468,000 ","537,931",21,81
A. Reach,England,73,22, 25 ," 1,144,000 ","1,314,943",25,77
Y. Ayhan,Turkey,73,12, 14 ," 624,000 ","717,241",36,73
N. Skubic,Slovenia,73,14, 16 ," 728,000 ","836,782",29,73
Frédéric Mendy,Guinea Bissau,73,7, 8 ," 364,000 ","418,391",29,73
D. Pizarro,Chile,73,8, 9 ," 416,000 ","478,161",38,73
Pierrino Faria,Brazil,73,11, 13 ," 572,000 ","657,471",30,73
Adrián González,Spain,73,8, 9 ," 416,000 ","478,161",30,73
F. Tobio,Argentina,73,19, 22 ," 988,000 ","1,135,632",28,74
R. Sigurðsson,Iceland,73,€ 0, -   , -   ,0,32,73
K. Reichel,Germany,73,23, 26 ," 1,196,000 ","1,374,713",31,73
Nivo Serpinho,Brazil,73,10, 11 ," 520,000 ","597,701",34,73
M. Wagué,Mali,73,19, 22 ," 988,000 ","1,135,632",27,75
M. Klich,Poland,73,35, 40 ," 1,820,000 ","2,091,954",28,73
A. Abdennour,Tunisia,73,24, 28 ," 1,248,000 ","1,434,483",28,73
B. Wood,United States,73,13, 15 ," 676,000 ","777,011",25,76
Álex Pérez,Spain,73,8, 9 ," 416,000 ","478,161",26,75
G. Cano,Argentina,73,4, 5 ," 208,000 ","239,080",30,73
I. Arboleda,Colombia,73,8, 9 ," 416,000 ","478,161",22,80
A. Domínguez,Ecuador,73,10, 11 ," 520,000 ","597,701",31,73
O. Kragl,Germany,73,4, 5 ," 208,000 ","239,080",28,73
José Rodríguez,Spain,73,17, 20 ," 884,000 ","1,016,092",23,78
F. Pardo,Colombia,73,1, 1 ," 52,000 ","59,770",27,73
R. Doan,Japan,73,6, 7 ," 312,000 ","358,621",20,84
O. Hiljemark,Sweden,73,14, 16 ," 728,000 ","836,782",26,75
J. McGinn,Scotland,73,15, 17 ," 780,000 ","896,552",23,78
V. Vada,Argentina,73,27, 31 ," 1,404,000 ","1,613,793",22,79
R. Halliche,Algeria,73,6, 7 ," 312,000 ","358,621",31,73
L. Marrone,Italy,73,61, 70 ," 3,172,000 ","3,645,977",28,73
G. Cimirot,Bosnia Herzegovina,73,13, 15 ," 676,000 ","777,011",25,76
K. Wilczek,Poland,73,24, 28 ," 1,248,000 ","1,434,483",30,73
João Amaral,Portugal,73,9, 10 ," 468,000 ","537,931",26,73
R. Bengtsson,Sweden,73,6, 7 ," 312,000 ","358,621",32,73
E. Johansson,Sweden,73,6, 7 ," 312,000 ","358,621",29,73
Hélder Lopes,Portugal,73,1, 1 ," 52,000 ","59,770",29,73
Serginho,Brazil,73,11, 13 ," 572,000 ","657,471",24,78
M. Linnes,Norway,73,37, 43 ," 1,924,000 ","2,211,494",26,74
S. Tibbling,Sweden,73,19, 22 ," 988,000 ","1,135,632",23,79
S. Simič,Czech Republic,73,44, 51 ," 2,288,000 ","2,629,885",23,81
W. Trapp,United States,73,6, 7 ," 312,000 ","358,621",25,77
N. Radonjić,Serbia,73,31, 36 ," 1,612,000 ","1,852,874",22,80
M. Sau,Italy,73,27, 31 ," 1,404,000 ","1,613,793",30,73
J. Schieber,Germany,73,22, 25 ," 1,144,000 ","1,314,943",29,73
Botía,Spain,73,28, 32 ," 1,456,000 ","1,673,563",29,73
W. Kanon,Ivory Coast,73,7, 8 ," 364,000 ","418,391",24,77
Amilton,Brazil,73,12, 14 ," 624,000 ","717,241",28,73
J. Ito,Japan,73,9, 10 ," 468,000 ","537,931",25,75
Edgar Badía,Spain,73,6, 7 ," 312,000 ","358,621",26,77
N. Penneteau,France,73,6, 7 ," 312,000 ","358,621",37,73
V. Lazaro,Austria,73,17, 20 ," 884,000 ","1,016,092",22,78
V. Wormgoor,Netherlands,73,5, 6 ," 260,000 ","298,851",29,73
A. Hunou,France,73,21, 24 ," 1,092,000 ","1,255,172",24,78
L. Gamba,Argentina,73,15, 17 ," 780,000 ","896,552",31,73
Kim Seung Joon,Korea Republic,73,7, 8 ," 364,000 ","418,391",23,75
R. Krhin,Slovenia,73,19, 22 ," 988,000 ","1,135,632",28,73
J. Herrera,Chile,73,5, 6 ," 260,000 ","298,851",37,73
B. Stancu,Romania,73,16, 18 ," 832,000 ","956,322",31,73
A. Tashaev,Russia,73,1, 1 ," 52,000 ","59,770",24,77
M. Frantz,Germany,73,20, 23 ," 1,040,000 ","1,195,402",31,73
R. Bezus,Ukraine,73,11, 13 ," 572,000 ","657,471",27,73
Shin Hwa Yong,Korea Republic,73,4, 5 ," 208,000 ","239,080",35,73
R. Genevois,Haiti,73,17, 20 ," 884,000 ","1,016,092",30,73
M. Degenek,Australia,73,€ 0, -   , -   ,0,24,80
Oswaldito Cuba,Brazil,73,13, 15 ," 676,000 ","777,011",34,73
C. Rigamonti,Argentina,73,10, 11 ," 520,000 ","597,701",31,73
Wallace,Brazil,73,18, 21 ," 936,000 ","1,075,862",30,73
J. Kovařík,Czech Republic,73,1, 1 ," 52,000 ","59,770",30,73
Douglas Luiz,Brazil,73,55, 63 ," 2,860,000 ","3,287,356",20,83
V. Torosidis,Greece,73,1, 1 ," 52,000 ","59,770",33,73
N. Isimat-Mirin,France,73,12, 14 ," 624,000 ","717,241",26,74
Rúben Ferreira,Portugal,73,9, 10 ," 468,000 ","537,931",28,73
L. Gil,Argentina,73,13, 15 ," 676,000 ","777,011",27,74
P. Diop,Spain,73,31, 36 ," 1,612,000 ","1,852,874",20,84
Z. Machach,France,73,36, 41 ," 1,872,000 ","2,151,724",22,80
M. Bettinelli,England,73,30, 34 ," 1,560,000 ","1,793,103",26,77
A. Peñaranda,Venezuela,73,32, 37 ," 1,664,000 ","1,912,644",21,81
K. Frei,Turkey,73,17, 20 ," 884,000 ","1,016,092",24,76
Sergi Samper,Spain,73,69, 79 ," 3,588,000 ","4,124,138",23,80
R. Lod,Finland,73,9, 10 ," 468,000 ","537,931",25,77
H. Saivet,Senegal,73,36, 41 ," 1,872,000 ","2,151,724",27,73
A. Regattin,Morocco,73,15, 17 ," 780,000 ","896,552",26,73
Mauro Cildinho,Brazil,73,13, 15 ," 676,000 ","777,011",34,73
J. Ikoko,DR Congo,73,15, 17 ," 780,000 ","896,552",24,78
P. Chavarría,Argentina,73,17, 20 ," 884,000 ","1,016,092",30,73
R. Bennett,England,73,46, 53 ," 2,392,000 ","2,749,425",28,73
K. Hansen,Denmark,73,18, 21 ," 936,000 ","1,075,862",29,73
S. Gürler,Turkey,73,19, 22 ," 988,000 ","1,135,632",26,73
D. Dainelli,Italy,73,2, 2 ," 104,000 ","119,540",39,73
M. Mantovani,Argentina,73,9, 10 ," 468,000 ","537,931",33,73
A. Zeneli,Kosovo,73,8, 9 ," 416,000 ","478,161",23,77
João Carvalho,Portugal,73,28, 32 ," 1,456,000 ","1,673,563",21,82
N. Barazite,Netherlands,73,13, 15 ," 676,000 ","777,011",28,73
M. Aguirregaray,Uruguay,73,22, 25 ," 1,144,000 ","1,314,943",29,73
A. Ricaurte,Colombia,73,4, 5 ," 208,000 ","239,080",26,75
D. Randolph,Republic of Ireland,73,31, 36 ," 1,612,000 ","1,852,874",31,73
Omar Ramos,Spain,73,10, 11 ," 520,000 ","597,701",30,73
D. Jensen,Denmark,73,11, 13 ," 572,000 ","657,471",26,76
J. Duque,Colombia,73,4, 5 ," 208,000 ","239,080",26,77
E. Reynoso,Argentina,73,16, 18 ," 832,000 ","956,322",22,80
J. Elez,Croatia,73,20, 23 ," 1,040,000 ","1,195,402",24,77
J. Gutiérrez,Argentina,73,12, 14 ," 624,000 ","717,241",34,73
M. Leye,Senegal,73,9, 10 ," 468,000 ","537,931",35,73
K. Naughton,England,73,22, 25 ," 1,144,000 ","1,314,943",29,73
Caio Secco,Brazil,73,8, 9 ," 416,000 ","478,161",27,75
B. Bianchi,Argentina,73,10, 11 ," 520,000 ","597,701",29,73
E. Barco,Argentina,73,4, 5 ," 208,000 ","239,080",19,88
T. Leistner,Germany,73,9, 10 ," 468,000 ","537,931",27,74
R. Kishna,Netherlands,73,32, 37 ," 1,664,000 ","1,912,644",23,77
F. Bachirou,Comoros,73,7, 8 ," 364,000 ","418,391",28,73
K. Rezaei,Iran,73,20, 23 ," 1,040,000 ","1,195,402",26,75
D. Vukovic,Australia,73,10, 11 ," 520,000 ","597,701",33,73
R. Nouri,France,73,7, 8 ," 364,000 ","418,391",33,73
J. Gómez,Argentina,73,12, 14 ," 624,000 ","717,241",24,78
Y. Gouffran,France,73,20, 23 ," 1,040,000 ","1,195,402",32,73
Manu García,Spain,73,55, 63 ," 2,860,000 ","3,287,356",20,84
I. Köybaşı,Turkey,73,43, 49 ," 2,236,000 ","2,570,115",28,73
Juan Villar,Spain,73,9, 10 ," 468,000 ","537,931",30,73
Y. Namli,Denmark,73,8, 9 ," 416,000 ","478,161",24,76
G. Blanco,Argentina,73,10, 11 ," 520,000 ","597,701",26,74
A. Ramos,Colombia,73,10, 11 ," 520,000 ","597,701",32,73
M. Jedinák,Australia,73,15, 17 ," 780,000 ","896,552",33,73
M. Rybus,Poland,73,1, 1 ," 52,000 ","59,770",28,73
J. Barroso,Argentina,73,7, 8 ," 364,000 ","418,391",33,73
A. Cohen,Israel,73,20, 23 ," 1,040,000 ","1,195,402",29,73
B. Raman,Belgium,73,20, 23 ," 1,040,000 ","1,195,402",23,79
A. McGeady,Republic of Ireland,73,13, 15 ," 676,000 ","777,011",32,73
B. Reid,England,73,37, 43 ," 1,924,000 ","2,211,494",25,78
Hervías,Spain,73,17, 20 ," 884,000 ","1,016,092",25,76
L. Pocrnjic,Argentina,73,5, 6 ," 260,000 ","298,851",36,73
S. Ingason,Iceland,73,€ 0, -   , -   ,0,24,78
T. Heurtaux,France,73,17, 20 ," 884,000 ","1,016,092",29,73
G. Wikheim,Norway,73,20, 23 ," 1,040,000 ","1,195,402",25,76
Valdivia,Brazil,73,18, 21 ," 936,000 ","1,075,862",23,78
S. Cáseres,Argentina,73,15, 17 ," 780,000 ","896,552",21,83
A. Gunnarsson,Iceland,73,34, 39 ," 1,768,000 ","2,032,184",29,73
L. Hinterseer,Austria,73,17, 20 ," 884,000 ","1,016,092",27,74
S. Peeters,Belgium,73,19, 22 ," 988,000 ","1,135,632",26,76
U. Agbo,Nigeria,73,11, 13 ," 572,000 ","657,471",22,80
D. Luckassen,Netherlands,73,10, 11 ," 520,000 ","597,701",22,77
M. Terrier,France,73,35, 40 ," 1,820,000 ","2,091,954",21,83
Marcos Guilherme,Brazil,73,18, 21 ," 936,000 ","1,075,862",22,79
T. Parker,United States,73,6, 7 ," 312,000 ","358,621",25,78
A. Lookman,England,73,46, 53 ," 2,392,000 ","2,749,425",20,85
P. Mouche,Argentina,73,17, 20 ," 884,000 ","1,016,092",30,73
A. Rosina,Italy,73,5, 6 ," 260,000 ","298,851",34,73
B. Bannan,Scotland,73,24, 28 ," 1,248,000 ","1,434,483",28,73
Édundo Oliveira,Brazil,73,21, 24 ," 1,092,000 ","1,255,172",26,73
Guilherme,Brazil,73,5, 6 ," 260,000 ","298,851",27,73
A. Solari,Argentina,73,17, 20 ," 884,000 ","1,016,092",26,74
H. Barnes,England,73,34, 39 ," 1,768,000 ","2,032,184",20,84
V. Coufal,Czech Republic,73,1, 1 ," 52,000 ","59,770",25,76
S. Di Carmine,Italy,73,5, 6 ," 260,000 ","298,851",29,73
C. Roldan,United States,73,6, 7 ," 312,000 ","358,621",23,79
F. Lemoine,France,73,8, 9 ," 416,000 ","478,161",31,73
Djalma,Angola,73,13, 15 ," 676,000 ","777,011",31,73
D. Lukebakio,Belgium,73,29, 33 ," 1,508,000 ","1,733,333",20,81
Y. Benalouane,Tunisia,73,42, 48 ," 2,184,000 ","2,510,345",31,73
L. Pisculichi,Argentina,73,12, 14 ," 624,000 ","717,241",34,73
Edinho,Portugal,73,9, 10 ," 468,000 ","537,931",35,73
Paolito Serra,Brazil,73,17, 20 ," 884,000 ","1,016,092",26,73
J. Fleck,Scotland,73,12, 14 ," 624,000 ","717,241",26,74
L. Rosić,Serbia,73,10, 11 ," 520,000 ","597,701",25,78
F. Soldano,Argentina,73,12, 14 ," 624,000 ","717,241",23,79
A. Hansen,Norway,73,6, 7 ," 312,000 ","358,621",28,75
V. García,Venezuela,73,7, 8 ," 364,000 ","418,391",24,78
F. Sánchez,Argentina,73,14, 16 ," 728,000 ","836,782",28,73
C. Carmona,Chile,73,7, 8 ," 364,000 ","418,391",31,73
B. Sigurðarson,Iceland,73,€ 0, -   , -   ,0,27,74
Y. Yotún,Peru,73,8, 9 ," 416,000 ","478,161",28,73
G. Zardes,United States,73,8, 9 ," 416,000 ","478,161",26,74
J. Ménez,France,73,48, 55 ," 2,496,000 ","2,868,966",31,73
S. Prediger,Argentina,73,12, 14 ," 624,000 ","717,241",31,73
A. Webster,England,72,23, 26 ," 1,196,000 ","1,374,713",23,77
I. Damonte,Argentina,72,9, 10 ," 468,000 ","537,931",36,72
A. Dioussé,Senegal,72,14, 16 ," 728,000 ","836,782",20,80
Laure,Spain,72,7, 8 ," 364,000 ","418,391",33,72
N. Karelis,Greece,72,1, 1 ," 52,000 ","59,770",26,75
Vesga,Spain,72,14, 16 ," 728,000 ","836,782",25,77
V. Jovanović,Serbia,72,21, 24 ," 1,092,000 ","1,255,172",22,78
J. Filipović,Croatia,72,10, 11 ," 520,000 ","597,701",25,75
J. Cuevas,Argentina,72,4, 5 ," 208,000 ","239,080",30,72
Rober Ibáñez,Spain,72,15, 17 ," 780,000 ","896,552",25,75
J. Zmrhal,Czech Republic,72,1, 1 ," 52,000 ","59,770",24,75
J. Murphy,England,72,27, 31 ," 1,404,000 ","1,613,793",23,80
D. Siovas,Greece,72,19, 22 ," 988,000 ","1,135,632",29,72
J. Pohjanpalo,Finland,72,35, 40 ," 1,820,000 ","2,091,954",23,77
R. Pierre-Gabriel,France,72,26, 30 ," 1,352,000 ","1,554,023",20,82
H. Droguett,Chile,72,3, 3 ," 156,000 ","179,310",35,72
B. Corgnet,France,72,14, 16 ," 728,000 ","836,782",31,72
A. Benali,Libya,72,4, 5 ," 208,000 ","239,080",26,73
V. Ibarbo,Colombia,72,5, 6 ," 260,000 ","298,851",28,72
F. Boulaya,Algeria,72,7, 8 ," 364,000 ","418,391",25,75
A. Blin,France,72,13, 15 ," 676,000 ","777,011",21,80
H. Aleesami,Norway,72,3, 3 ," 156,000 ","179,310",26,72
J. Kenny,England,72,35, 40 ," 1,820,000 ","2,091,954",21,79
D. Livaković,Croatia,72,1, 1 ," 52,000 ","59,770",22,80
R. Koolwijk,Netherlands,72,6, 7 ," 312,000 ","358,621",32,72
B. Parker,South Africa,72,1, 1 ," 52,000 ","59,770",32,72
K. Omeruo,Nigeria,72,45, 52 ," 2,340,000 ","2,689,655",24,79
G. Letizia,Italy,72,4, 5 ," 208,000 ","239,080",28,72
D. Dessoleil,Belgium,72,10, 11 ," 520,000 ","597,701",25,75
C. Nørgaard,Denmark,72,27, 31 ," 1,404,000 ","1,613,793",24,79
Manu Del Moral,Spain,72,8, 9 ," 416,000 ","478,161",34,72
A. Cordaz,Italy,72,2, 2 ," 104,000 ","119,540",35,72
J. Correa,Argentina,72,8, 9 ," 416,000 ","478,161",25,75
M. Morishige,Japan,72,8, 9 ," 416,000 ","478,161",31,72
